"module name","version","licenses"
"mapillary-js@2.20.0","2.20.0","MIT"
"marked@0.4.0","0.4.0","MIT"
"martinez-polygon-clipping@0.5.0","0.5.0","MIT"
"math-random@1.0.1","1.0.1","MIT"
"mdn-data@1.1.4","1.1.4","MPL-2.0"
"media-typer@0.3.0","0.3.0","MIT"
"mem@4.0.0","4.0.0","MIT"
"memoizee@0.4.11","0.4.11","MIT"
"merge-descriptors@1.0.1","1.0.1","MIT"
"merge-source-map@1.0.4","1.0.4","MIT"
"merge-stream@1.0.1","1.0.1","MIT"
"merge2@1.2.2","1.2.2","MIT"
"methods@1.1.2","1.1.2","MIT"
"micromatch@2.3.11","2.3.11","MIT"
"micromatch@3.1.10","3.1.10","MIT"
"miller-rabin@4.0.0","4.0.0","MIT"
"mime-db@1.27.0","1.27.0","MIT"
"mime-db@1.33.0","1.33.0","MIT"
"mime-db@1.36.0","1.36.0","MIT"
"mime-types@2.1.15","2.1.15","MIT"
"mime-types@2.1.18","2.1.18","MIT"
"mime-types@2.1.20","2.1.20","MIT"
"mime@1.4.1","1.4.1","MIT"
"mime@2.3.1","2.3.1","MIT"
"mimic-fn@1.2.0","1.2.0","MIT"
"min-document@2.19.0","2.19.0","MIT"
"minimalistic-assert@1.0.0","1.0.0","ISC"
"minimalistic-crypto-utils@1.0.1","1.0.1","MIT"
"minimatch@3.0.4","3.0.4","ISC"
"minimist@0.0.10","0.0.10","MIT"
"minimist@0.0.5","0.0.5","MIT"
"minimist@0.0.8","0.0.8","MIT"
"minimist@1.2.0","1.2.0","MIT"
"mixin-deep@1.3.1","1.3.1","MIT"
"mkdirp@0.5.1","0.5.1","MIT"
"module-deps@6.1.0","6.1.0","MIT"
"mold-source-map@0.4.0","0.4.0","MIT"
"ms@2.0.0","2.0.0","MIT"
"ms@2.1.1","2.1.1","MIT"
"multipipe@0.1.2","0.1.2","MIT"
"nanomatch@1.2.9","1.2.9","MIT"
"negotiator@0.6.1","0.6.1","MIT"
"next-tick@0.2.2","0.2.2","MIT"
"next-tick@1.0.0","1.0.0","MIT"
"nice-try@1.0.5","1.0.5","MIT"
